cycle,environment_temperature,nominal_capacity
3,48,2.2198944266513734
3,49,2.246578131059636
3,50,2.246578131059636
4,1,0.963773495201287
4,2,0.9904571996095496
4,3,1.017140904017812
4,4,1.0438246084260747
4,5,1.0705083128343373
4,6,1.0971920172426
4,7,1.1238757216508626
4,8,1.1505594260591252
4,9,1.1772431304673878
4,10,1.2039268348756504
4,11,1.230610539283913
4,12,1.2572942436921757
4,13,1.2839779481004383
4,14,1.310661652508701
4,15,1.3373453569169635
4,16,1.3640290613252262
4,17,1.3907127657334888
4,18,1.4173964701417514
4,19,1.444080174550014
4,20,1.4707638789582766
4,21,1.4974475833665393
4,22,1.524131287774802
4,23,1.5508149921830645
4,24,1.5774986965913271
4,25,1.6041824009995898
4,26,1.6308661054078524
4,27,1.657549809816115
4,28,1.6842335142243776
4,29,1.7109172186326402
4,30,1.7376009230409029
4,31,1.7642846274491655
4,32,1.790968331857428
4,33,1.8176520362656907
4,34,1.8443357406739533
4,35,1.871019445082216
4,36,1.8977031494904786
4,37,1.9243868538987412
4,38,1.9510705583070038
4,39,1.9777542627152664
4,40,2.004437967123529
4,41,2.0311216715317917
4,42,2.0578053759400543
4,43,2.084489080348317
4,44,2.1111727847565795
4,45,2.137856489164842
4,46,2.164540193573105
4,47,2.1912238979813674
4,48,2.21790760238963
4,49,2.2445913067978926
4,50,2.2445913067978926
5,1,0.9617866709395435
5,2,0.9884703753478061
5,3,1.0151540797560688
5,4,1.0418377841643314
5,5,1.068521488572594
5,6,1.0952051929808566
5,7,1.1218888973891192
5,8,1.1485726017973819
5,9,1.1752563062056445
5,10,1.201940010613907
5,11,1.2286237150221697
5,12,1.2553074194304323
5,13,1.281991123838695
5,14,1.3086748282469576
5,15,1.3353585326552202
5,16,1.3620422370634828
5,17,1.3887259414717454
5,18,1.415409645880008
5,19,1.4420933502882707
5,20,1.4687770546965333
5,21,1.495460759104796
5,22,1.5221444635130585
5,23,1.5488281679213212
5,24,1.5755118723295838
5,25,1.6021955767378464
5,26,1.628879281146109
5,27,1.6555629855543716
5,28,1.6822466899626343
5,29,1.7089303943708969
5,30,1.7356140987791595
5,31,1.7622978031874221
5,32,1.7889815075956848
5,33,1.8156652120039474
5,34,1.84234891641221
5,35,1.8690326208204726
5,36,1.8957163252287352
5,37,1.9224000296369979
5,38,1.9490837340452603
5,39,1.9757674384535229
5,40,2.0024511428617853
5,41,2.029134847270048
5,42,2.0558185516783105
5,43,2.082502256086573
5,44,2.1091859604948358
5,45,2.1358696649030984
5,46,2.162553369311361
5,47,2.1892370737196236
5,48,2.2159207781278862
5,49,2.242604482536149
5,50,2.242604482536149
6,1,0.9597998466778002
6,2,0.9864835510860628
6,3,1.0131672554943254
6,4,1.039850959902588
6,5,1.0665346643108506
6,6,1.0932183687191133
6,7,1.1199020731273759
6,8,1.1465857775356385
6,9,1.1732694819439011
6,10,1.1999531863521637
6,11,1.2266368907604264
6,12,1.253320595168689
6,13,1.2800042995769516
6,14,1.3066880039852142
6,15,1.3333717083934769
6,16,1.3600554128017395
6,17,1.386739117210002
6,18,1.4134228216182647
6,19,1.4401065260265273
6,20,1.46679023043479
6,21,1.4934739348430526
6,22,1.5201576392513152
6,23,1.5468413436595778
6,24,1.5735250480678404
6,25,1.600208752476103
6,26,1.6268924568843657
6,27,1.6535761612926283
6,28,1.680259865700891
6,29,1.7069435701091535
6,30,1.7336272745174162
6,31,1.7603109789256788
6,32,1.7869946833339414
6,33,1.813678387742204
6,34,1.8403620921504666
6,35,1.8670457965587293
6,36,1.8937295009669919
6,37,1.9204132053752545
6,38,1.947096909783517
6,39,1.9737806141917795
6,40,2.0004643186000424
6,41,2.027148023008305
6,42,2.0538317274165676
6,43,2.0805154318248302
6,44,2.107199136233093
6,45,2.1338828406413555
6,46,2.160566545049618
6,47,2.1872502494578807
6,48,2.2139339538661433
6,49,2.240617658274406
6,50,2.240617658274406
7,1,0.9578130224160568
7,2,0.9844967268243194
7,3,1.011180431232582
7,4,1.0378641356408447
7,5,1.0645478400491073
7,6,1.09123154445737
7,7,1.1179152488656325
7,8,1.1445989532738952
7,9,1.1712826576821578
7,10,1.1979663620904204
7,11,1.224650066498683
7,12,1.2513337709069456
7,13,1.2780174753152083
7,14,1.3047011797234709
7,15,1.3313848841317335
7,16,1.3580685885399961
7,17,1.3847522929482587
7,18,1.4114359973565214
7,19,1.438119701764784
7,20,1.4648034061730466
7,21,1.4914871105813092
7,22,1.5181708149895718
7,23,1.5448545193978345
7,24,1.571538223806097
7,25,1.5982219282143597
7,26,1.6249056326226223
7,27,1.651589337030885
7,28,1.6782730414391476
7,29,1.7049567458474102
7,30,1.7316404502556728
7,31,1.7583241546639354
7,32,1.785007859072198
7,33,1.8116915634804607
7,34,1.8383752678887233
7,35,1.865058972296986
7,36,1.8917426767052485
7,37,1.9184263811135112
7,38,1.9451100855217736
7,39,1.9717937899300362
7,40,1.9984774943382988
7,41,2.025161198746561
7,42,2.051844903154824
7,43,2.0785286075630864
7,44,2.105212311971349
7,45,2.1318960163796117
7,46,2.1585797207878743
7,47,2.185263425196137
7,48,2.2119471296043995
7,49,2.238630834012662
7,50,2.238630834012662
8,1,0.9558261981543135
8,2,0.9825099025625761
8,3,1.0091936069708387
8,4,1.0358773113791013
8,5,1.062561015787364
8,6,1.0892447201956266
8,7,1.1159284246038892
8,8,1.1426121290121518
8,9,1.1692958334204144
8,10,1.195979537828677
8,11,1.2226632422369397
8,12,1.2493469466452023
8,13,1.276030651053465
8,14,1.3027143554617275
8,15,1.3293980598699902
8,16,1.3560817642782528
8,17,1.3827654686865154
8,18,1.409449173094778
8,19,1.4361328775030406
8,20,1.4628165819113033
8,21,1.4895002863195659
8,22,1.5161839907278285
8,23,1.5428676951360911
8,24,1.5695513995443537
8,25,1.5962351039526164
8,26,1.622918808360879
8,27,1.6496025127691416
8,28,1.6762862171774042
8,29,1.7029699215856668
8,30,1.7296536259939295
8,31,1.756337330402192
8,32,1.7830210348104547
8,33,1.8097047392187173
8,34,1.83638844362698
8,35,1.8630721480352426
8,36,1.8897558524435052
8,37,1.9164395568517678
8,38,1.9431232612600302
8,39,1.9698069656682928
8,40,1.9964906700765555
8,41,2.0231743744848183
8,42,2.049858078893081
8,43,2.0765417833013435
8,44,2.103225487709606
8,45,2.1299091921178688
8,46,2.1565928965261314
8,47,2.183276600934394
8,48,2.2099603053426566
8,49,2.2366440097509193
8,50,2.2366440097509193
9,1,0.95383937389257
9,2,0.9805230783008326
9,3,1.0072067827090951
9,4,1.0338904871173578
9,5,1.0605741915256204
9,6,1.087257895933883
9,7,1.1139416003421456
9,8,1.1406253047504082
9,9,1.1673090091586709
9,10,1.1939927135669335
9,11,1.220676417975196
9,12,1.2473601223834587
9,13,1.2740438267917213
9,14,1.300727531199984
9,15,1.3274112356082466
9,16,1.3540949400165092
9,17,1.3807786444247718
9,18,1.4074623488330344
9,19,1.434146053241297
9,20,1.4608297576495597
9,21,1.4875134620578223
9,22,1.514197166466085
9,23,1.5408808708743476
9,24,1.5675645752826102
9,25,1.5942482796908728
9,26,1.6209319840991354
9,27,1.647615688507398
9,28,1.6742993929156607
9,29,1.7009830973239233
9,30,1.727666801732186
9,31,1.7543505061404485
9,32,1.7810342105487111
9,33,1.8077179149569738
9,34,1.8344016193652364
9,35,1.861085323773499
9,36,1.8877690281817616
9,37,1.9144527325900242
9,38,1.9411364369982866
9,39,1.9678201414065493
9,40,1.9945038458148119
9,41,2.0211875502230745
9,42,2.047871254631337
9,43,2.0745549590395997
9,44,2.1012386634478624
9,45,2.127922367856125
9,46,2.1546060722643876
9,47,2.1812897766726502
9,48,2.207973481080913
9,49,2.2346571854891755
9,50,2.2346571854891755
10,1,0.9518525496308267
10,2,0.9785362540390893
10,3,1.0052199584473518
10,4,1.0319036628556144
10,5,1.058587367263877
10,6,1.0852710716721397
10,7,1.1119547760804023
10,8,1.138638480488665
10,9,1.1653221848969275
10,10,1.1920058893051901
10,11,1.2186895937134528
10,12,1.2453732981217154
10,13,1.272057002529978
10,14,1.2987407069382406
10,15,1.3254244113465032
10,16,1.3521081157547659
10,17,1.3787918201630285
10,18,1.405475524571291
10,19,1.4321592289795537
10,20,1.4588429333878163
10,21,1.485526637796079
10,22,1.5122103422043416
10,23,1.5388940466126042
10,24,1.5655777510208668
10,25,1.5922614554291294
10,26,1.618945159837392
10,27,1.6456288642456547
10,28,1.6723125686539173
10,29,1.69899627306218
10,30,1.7256799774704425
10,31,1.7523636818787052
10,32,1.7790473862869678
10,33,1.8057310906952304
10,34,1.832414795103493
10,35,1.8590984995117557
10,36,1.8857822039200183
10,37,1.912465908328281
10,38,1.9391496127365433
10,39,1.965833317144806
10,40,1.9925170215530685
10,41,2.019200725961331
10,42,2.0458844303695938
10,43,2.0725681347778564
10,44,2.099251839186119
10,45,2.1259355435943816
10,46,2.1526192480026443
10,47,2.179302952410907
10,48,2.2059866568191695
10,49,2.232670361227432
10,50,2.232670361227432
11,1,0.9498657253690833
11,2,0.9765494297773459
11,3,1.0032331341856084
11,4,1.029916838593871
11,5,1.0566005430021337
11,6,1.0832842474103963
11,7,1.109967951818659
11,8,1.1366516562269215
11,9,1.1633353606351842
11,10,1.1900190650434468
11,11,1.2167027694517094
11,12,1.243386473859972
11,13,1.2700701782682347
11,14,1.2967538826764973
11,15,1.32343758708476
11,16,1.3501212914930225
11,17,1.3768049959012851
11,18,1.4034887003095478
11,19,1.4301724047178104
11,20,1.456856109126073
11,21,1.4835398135343356
11,22,1.5102235179425982
11,23,1.5369072223508609
11,24,1.5635909267591235
11,25,1.590274631167386
11,26,1.6169583355756487
11,27,1.6436420399839113
11,28,1.670325744392174
11,29,1.6970094488004366
11,30,1.7236931532086992
11,31,1.7503768576169618
11,32,1.7770605620252244
11,33,1.803744266433487
11,34,1.8304279708417497
11,35,1.8571116752500123
11,36,1.883795379658275
11,37,1.9104790840665375
11,38,1.9371627884748
11,39,1.9638464928830626
11,40,1.9905301972913252
11,41,2.017213901699588
11,42,2.0438976061078504
11,43,2.070581310516113
11,44,2.0972650149243757
11,45,2.1239487193326383
11,46,2.150632423740901
11,47,2.1773161281491635
11,48,2.203999832557426
11,49,2.2306835369656888
11,50,2.2306835369656888
12,1,0.9478789011073399
12,2,0.9745626055156025
12,3,1.001246309923865
12,4,1.0279300143321277
12,5,1.0546137187403903
12,6,1.081297423148653
12,7,1.1079811275569156
12,8,1.1346648319651782
12,9,1.1613485363734408
12,10,1.1880322407817034
12,11,1.214715945189966
12,12,1.2413996495982287
12,13,1.2680833540064913
12,14,1.294767058414754
12,15,1.3214507628230165
12,16,1.3481344672312792
12,17,1.3748181716395418
12,18,1.4015018760478044
12,19,1.4281855804560668
12,20,1.4548692848643294
12,21,1.481552989272592
12,22,1.5082366936808547
12,23,1.5349203980891173
12,24,1.56160410249738
12,25,1.5882878069056425
12,26,1.6149715113139052
12,27,1.6416552157221678
12,28,1.6683389201304304
12,29,1.695022624538693
12,30,1.7217063289469556
12,31,1.7483900333552183
12,32,1.7750737377634809
12,33,1.8017574421717435
12,34,1.8284411465800061
12,35,1.8551248509882687
12,36,1.8818085553965314
12,37,1.908492259804794
12,38,1.9351759642130566
12,39,1.9618596686213192
12,40,1.9885433730295818
12,41,2.0152270774378445
12,42,2.041910781846107
12,43,2.0685944862543697
12,44,2.0952781906626323
12,45,2.121961895070895
12,46,2.1486455994791576
12,47,2.17532930388742
12,48,2.202013008295683
12,49,2.2286967127039454
